15:38:59:573 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - Starting CropMonitoringSystemBackendApplication using Java 17.0.7 with PID 8096 (D:\GDSE 68\Second Semester\AAD\Crop_Monitoring_System-Backend\build\classes\java\main started by Sandun in D:\GDSE 68\Second Semester\AAD\Crop_Monitoring_System-Backend)
15:38:59:587 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - No active profile set, falling back to 1 default profile: "default"
15:39:07:137 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - Started CropMonitoringSystemBackendApplication in 8.156 seconds (process running for 9.761)
15:39:50:894 [http-nio-8080-exec-2] INFO  l.i.c.controller.CropController - Crop searched successfully: Rice
15:40:14:639 [http-nio-8080-exec-3] INFO  l.i.c.controller.CropController - Crop saved successfully: Rice
15:42:24:350 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - Starting CropMonitoringSystemBackendApplication using Java 17.0.7 with PID 13908 (D:\GDSE 68\Second Semester\AAD\Crop_Monitoring_System-Backend\build\classes\java\main started by Sandun in D:\GDSE 68\Second Semester\AAD\Crop_Monitoring_System-Backend)
15:42:24:354 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - No active profile set, falling back to 1 default profile: "default"
15:42:29:109 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - Started CropMonitoringSystemBackendApplication in 5.116 seconds (process running for 6.039)
15:42:58:264 [http-nio-8080-exec-2] INFO  l.i.c.controller.CropController - All crops fetched successfully
15:47:04:628 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - Starting CropMonitoringSystemBackendApplication using Java 17.0.7 with PID 19756 (D:\GDSE 68\Second Semester\AAD\Crop_Monitoring_System-Backend\build\classes\java\main started by Sandun in D:\GDSE 68\Second Semester\AAD\Crop_Monitoring_System-Backend)
15:47:04:653 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - No active profile set, falling back to 1 default profile: "default"
15:47:11:364 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - Started CropMonitoringSystemBackendApplication in 7.381 seconds (process running for 8.102)
15:47:39:857 [http-nio-8080-exec-1] INFO  l.i.c.controller.CropController - Crop deleted successfully with id: C002
19:37:32:812 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - Starting CropMonitoringSystemBackendApplication using Java 17.0.7 with PID 19100 (D:\GDSE 68\Second Semester\AAD\Crop_Monitoring_System-Backend\build\classes\java\main started by Sandun in D:\GDSE 68\Second Semester\AAD\Crop_Monitoring_System-Backend)
19:37:32:830 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - No active profile set, falling back to 1 default profile: "default"
19:38:02:500 [main] INFO  l.i.c.CropMonitoringSystemBackendApplication - Started CropMonitoringSystemBackendApplication in 31.821 seconds (process running for 35.075)
19:40:45:522 [http-nio-8080-exec-2] INFO  l.i.c.controller.EquipmentController - Equipment saved successfully: EquipmentDTO(equipmentId=E001, category=Shovel, type=Mechanical, status=Available, staff=null, fields=null)
